Conversation ID,Profile,Duration (s),Status,Questions
chat_20251006_234015_batch_1,ppd_low,49.53,completed,10
chat_20251006_234105_batch_2,ppd_high,50.38,completed,10
chat_20251006_234155_batch_3,ppd_possible,49.81,completed,10
chat_20251006_234245_batch_4,ppd_urgent,51.70,completed,10
chat_20251006_234337_batch_5,ppd_possible,51.78,completed,10
chat_20251006_234429_batch_6,ppd_urgent,48.85,completed,10
chat_20251006_234517_batch_7,ppd_possible,52.14,completed,10
chat_20251006_234610_batch_8,ppd_probable,49.87,completed,10
chat_20251006_234700_batch_9,ppd_probable,49.23,completed,10
chat_20251006_234749_batch_10,ppd_high,51.43,completed,10
chat_20251006_234840_batch_11,ppd_urgent,52.93,completed,10
chat_20251006_234933_batch_12,ppd_probable,50.90,completed,10
chat_20251006_235024_batch_13,ppd_high,50.52,completed,10
chat_20251006_235115_batch_14,ppd_probable,62.33,completed,10
chat_20251006_235217_batch_15,ppd_low,58.19,completed,10
chat_20251006_235315_batch_16,ppd_possible,52.32,completed,10
chat_20251006_235407_batch_17,ppd_urgent,49.90,completed,10
chat_20251006_235457_batch_18,ppd_urgent,54.04,completed,10
chat_20251006_235551_batch_19,ppd_probable,53.11,completed,10
chat_20251006_235644_batch_20,ppd_high,49.05,completed,10
chat_20251006_235734_batch_21,ppd_probable,48.56,completed,10
chat_20251006_235822_batch_22,ppd_low,49.61,completed,10
chat_20251006_235912_batch_23,ppd_possible,50.00,completed,10
chat_20251007_000002_batch_24,ppd_low,53.52,completed,10
chat_20251007_000055_batch_25,ppd_urgent,48.41,completed,10
chat_20251007_000144_batch_26,ppd_high,51.67,completed,10
chat_20251007_000235_batch_27,ppd_low,54.42,completed,10
chat_20251007_000330_batch_28,ppd_high,52.47,completed,10
chat_20251007_000422_batch_29,ppd_possible,53.23,completed,10
chat_20251007_000515_batch_30,ppd_high,50.39,completed,10
chat_20251007_000606_batch_31,ppd_high,52.97,completed,10
chat_20251007_000659_batch_32,ppd_urgent,50.54,completed,10
chat_20251007_000749_batch_33,ppd_possible,49.51,completed,10
chat_20251007_000839_batch_34,ppd_low,52.17,completed,10
chat_20251007_000931_batch_35,ppd_low,50.01,completed,10
chat_20251007_001021_batch_36,ppd_probable,49.64,completed,10
chat_20251007_001111_batch_37,ppd_probable,51.49,completed,10
